"arc_id","flow","traversal_time","active","x1","x2","y1","y2","z1","z2","capacity","initial_node","final_node"
261,0,"00:00:06",True,440,787,472,293,300,0,1000,30,47
262,0,"00:00:07",True,440,836,472,312,300,0,1000,30,56
263,0,"00:00:01",True,903,836,396,312,300,0,1000,53,56
264,0,"00:00:06",True,440,831,472,522,300,0,1000,30,48
265,0,"00:00:07",True,440,912,472,491,300,0,1000,30,50
266,0,"00:00:06",True,440,833,472,557,300,0,1000,30,51
267,0,"00:00:07",True,440,838,472,590,300,0,1000,30,52
268,0,"00:00:01",True,838,833,590,557,300,0,1000,52,51
269,0,"00:00:01",True,838,949,590,557,300,0,1000,52,49
270,0,"00:00:03",True,784,838,804,590,300,0,1000,22,52
271,0,"00:00:01",True,512,531,250,201,300,0,1000,36,57
272,0,"00:00:02",True,531,379,201,271,300,0,1000,57,55
273,0,"00:00:06",True,531,159,201,125,300,0,1000,57,32
274,0,"00:00:03",True,531,327,201,111,300,0,1000,57,33
275,0,"00:00:01",True,531,532,201,106,300,0,1000,57,34
276,0,"00:00:05",True,531,846,201,121,300,0,1000,57,35
277,0,"00:00:03",True,531,695,201,270,300,0,1000,57,44
278,0,"00:00:03",True,531,719,201,272,300,0,1000,57,45
279,0,"00:00:04",True,531,760,201,271,300,0,1000,57,46
280,0,"00:00:04",True,531,787,201,293,300,0,1000,57,47
281,0,"00:00:01",True,817,836,266,312,300,0,1000,43,56
282,0,"00:00:01",True,836,812,312,230,300,0,1000,56,40
283,0,"00:00:07",True,966,531,221,201,300,0,1000,41,57
284,0,"00:00:07",True,966,531,260,201,300,0,1000,42,57
285,0,"00:00:06",True,144,531,272,201,300,0,1000,31,57
286,0,"00:00:01",True,379,440,271,472,300,0,1000,55,30
287,0,"00:00:07",True,903,440,396,472,300,0,1000,53,30
288,0,"00:00:05",True,375,80,198,293,600,300,1000,158,61
289,0,"00:00:04",True,375,151,198,290,600,300,1000,158,62
290,0,"00:00:02",True,375,227,198,290,600,300,1000,158,63
291,0,"00:00:01",True,375,300,198,261,600,300,1000,158,66
292,0,"00:00:02",True,375,298,198,295,600,300,1000,158,67
293,0,"00:00:05",True,375,80,198,102,600,300,1000,158,60
294,0,"00:00:04",True,375,151,198,118,600,300,1000,158,64
295,0,"00:00:02",True,224,375,127,198,600,300,1000,65,158
296,0,"00:00:01",True,375,332,198,126,600,300,1000,158,79
297,0,"00:00:01",True,375,469,198,129,600,300,1000,158,80
298,0,"00:00:01",True,375,437,198,252,600,300,1000,158,69
299,0,"00:00:02",True,375,501,198,251,600,300,1000,158,70
300,0,"00:00:06",True,375,784,198,201,600,300,1000,158,159
301,0,"00:00:03",True,784,573,201,253,600,300,1000,159,71
302,0,"00:00:02",True,784,642,201,253,600,300,1000,159,72
303,0,"00:00:01",True,784,715,201,256,600,300,1000,159,73
304,0,"00:00:01",True,784,770,201,256,600,300,1000,159,74
305,0,"00:00:01",True,827,784,266,201,600,300,1000,75,159
306,0,"00:00:03",True,784,610,201,128,600,300,1000,159,76
307,0,"00:00:01",True,784,751,201,136,600,300,1000,159,77
308,0,"00:00:02",True,784,893,201,130,600,300,1000,159,78
309,0,"00:00:03",True,784,995,201,156,600,300,1000,159,83
310,0,"00:00:03",True,784,991,201,109,600,300,1000,159,82
311,0,"00:00:04",True,993,784,76,201,600,300,1000,81,159
312,0,"00:00:05",True,956,784,451,201,600,300,1000,160,159
313,0,"00:00:02",True,956,851,451,396,600,300,1000,160,87
314,0,"00:00:01",True,956,900,451,470,600,300,1000,160,88
315,0,"00:00:01",True,956,900,451,499,600,300,1000,160,84
316,0,"00:00:01",True,956,904,451,519,600,300,1000,160,85
317,0,"00:00:01",True,956,904,451,550,600,300,1000,160,86
318,0,"00:00:01",True,1073,956,464,451,600,300,1000,58,160
319,0,"00:00:06",True,812,956,786,451,600,300,1000,161,160
320,0,"00:00:01",True,846,812,857,786,600,300,1000,89,161
321,0,"00:00:02",True,812,650,786,844,600,300,1000,161,105
322,0,"00:00:01",True,812,717,786,741,600,300,1000,161,90
323,0,"00:00:02",True,812,710,786,703,600,300,1000,161,91
324,0,"00:00:03",True,812,642,786,677,600,300,1000,161,102
325,0,"00:00:06",True,433,812,742,786,600,300,1000,162,161
326,0,"00:00:01",True,433,410,742,643,600,300,1000,162,103
327,0,"00:00:01",True,433,448,742,643,600,300,1000,162,104
328,0,"00:00:01",True,433,525,742,681,600,300,1000,162,101
329,0,"00:00:02",True,529,433,857,742,600,300,1000,100,162
330,0,"00:00:02",True,433,389,742,855,600,300,1000,162,99
331,0,"00:00:02",True,433,331,742,654,600,300,1000,162,94
332,0,"00:00:01",True,433,348,742,736,600,300,1000,162,98
333,0,"00:00:02",True,300,433,706,742,600,300,1000,96,162
334,0,"00:00:02",True,433,304,742,737,600,300,1000,162,97
335,0,"00:00:03",True,433,287,742,857,600,300,1000,162,95
336,0,"00:00:04",True,433,183,742,873,600,300,1000,162,92
337,0,"00:00:04",True,182,433,683,742,600,300,1000,93,162
338,0,"00:00:02",True,337,194,167,100,900,600,1000,197,194
339,0,"00:00:03",True,337,155,167,218,900,600,1000,197,195
340,0,"00:00:01",True,337,297,167,203,900,600,1000,197,192
341,0,"00:00:01",True,337,289,167,244,900,600,1000,197,193
342,0,"00:00:02",True,337,224,167,258,900,600,1000,197,196
